id,party,census_block,dem_partisan_score,state,census_tract,x,y
2439609079,Republican,37159050904,4.2,37,37159050904,1020614.8096853228,-537499.3044638297
1779612310,Republican,37025042501,20.3,37,37025042501,987742.8496964028,-553537.4420738625
3961058073,Republican,37119006403,1.9,37,37119006403,969880.6887908541,-546244.1136077851
326020216,Republican,37071032301,7.0,37,37071032301,951435.4203935922,-574750.3325593257
3833145328,Republican,37071032402,6.7,37,37071032402,954966.4220469736,-581198.1385408014
163043094,Republican,37127010900,19.4,37,37127010900,1220367.2736408557,-462178.6427155768
542027430,Republican,37183053803,1.6,37,37183053803,1160259.735330456,-482344.9567184454
1037485155,Democrat,37089931600,92.0,37,37089931600,821656.2454486531,-576903.2922588794
1103365388,Republican,37109070202,10.4,37,37109070202,938196.4320163449,-548445.5487621839
2752875526,Democrat,37105030402,65.3,37,37105030402,1121493.6795850638,-541897.766442399
2970022413,Democrat,37105030402,82.0,37,37105030402,1121493.6795850638,-541897.766442399
4252322533,Democrat,37105030402,98.7,37,37105030402,1121493.6795850638,-541897.766442399
1311758862,Republican,37035010201,1.0,37,37035010201,935229.964016418,-516197.9484213382
712233539,Democrat,37179020312,97.0,37,37179020312,988870.7380707648,-591114.9138706686
923130555,Democrat,37083930600,94.2,37,37083930600,1242397.4096167323,-432015.9114237193
3877659168,Republican,37025041701,1.6,37,37025041701,1009854.7594932951,-554934.820849522
455195620,Republican,37059080700,4.7,37,37059080700,996646.5510135479,-508337.8789236308
199878474,Democrat,37027030100,95.6,37,37027030100,903864.537876204,-503378.5108751618
1597806198,Democrat,37155960801,97.7,37,37155960801,1138747.7518005623,-633692.7604051768
3935899299,Republican,37051002501,2.2,37,37051002501,1148696.2750289054,-576309.0870032097
199045178,Democrat,37067003002,98.9,37,37067003002,1025314.0170787087,-470302.08569444716
416709223,Democrat,37045950602,96.2,37,37045950602,919724.6297935528,-583188.7187464449
1741749394,Democrat,37149920103,98.4,37,37149920103,855174.1966615148,-581970.3719728068
