,fraction_voters_Republican,fraction_voters_Democrat,fraction_winners_Republican,fraction_winners_Democrat,medians,total_voters,total_winners,label,map,voting_method
24,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[29.1, 54.8, 29.1, 42.7, 54.8, 37.8, 48.4, 54.8, 46.6, 72.5, 46.6, 64.1, 46.6, 59.2, 46.6, 56.5]",19983,16,test,2,thiele_pav
25,0.5743381874593404,0.42566181254065955,1.0,0.0,"[29.1, 29.1, 29.1, 29.1, 29.1, 29.1, 29.1, 29.1, 46.6, 46.6, 46.6, 46.6, 46.6, 46.6, 46.6, 46.6]",19983,16,test,2,thiele_approvalindependent
26,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[29.1, 72.8, 29.1, 58.9, 29.1, 51.2, 29.1, 44.9, 46.6, 85.6, 46.6, 75.6, 46.6, 69.2, 46.6, 65.3]",19983,16,test,2,thiele_squared
27,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[31.1, 57.7, 31.1, 46.2, 57.7, 40.2, 51.5, 37.6, 44.3, 70.1, 44.3, 61.3, 44.3, 56.1, 44.3, 53.6]",19983,16,test,2,thiele_pav
28,0.5743381874593404,0.42566181254065955,1.0,0.0,"[31.1, 31.1, 31.1, 31.1, 31.1, 31.1, 31.1, 31.1, 44.3, 44.3, 44.3, 44.3, 44.3, 44.3, 44.3, 44.3]",19983,16,test,2,thiele_approvalindependent
29,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[31.1, 75.2, 31.1, 61.8, 31.1, 53.5, 31.1, 48.4, 44.3, 84.0, 44.3, 73.0, 44.3, 66.5, 44.3, 62.6]",19983,16,test,2,thiele_squared
30,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[41.4, 67.8, 41.4, 58.0, 41.4, 53.4, 41.4, 50.9, 32.7, 60.8, 32.7, 50.0, 32.7, 43.7, 53.9, 40.3]",19983,16,test,2,thiele_pav
31,0.5743381874593404,0.42566181254065955,1.0,0.0,"[41.4, 41.4, 41.4, 41.4, 41.4, 41.4, 41.4, 41.4, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7]",19983,16,test,2,thiele_approvalindependent
32,0.5743381874593404,0.42566181254065955,0.5,0.5,"[41.4, 82.1, 41.4, 70.8, 41.4, 64.1, 41.4, 59.6, 32.7, 77.1, 32.7, 64.6, 32.7, 56.5, 32.7, 51.6]",19983,16,test,2,thiele_squared
33,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[30.5, 57.5, 30.5, 45.9, 57.5, 39.8, 51.1, 37.0, 44.5, 70.2, 44.5, 61.4, 44.5, 56.6, 44.5, 54.0]",19983,16,test,2,thiele_pav
34,0.5743381874593404,0.42566181254065955,1.0,0.0,"[30.5, 30.5, 30.5, 30.5, 30.5, 30.5, 30.5, 30.5, 44.5, 44.5, 44.5, 44.5, 44.5, 44.5, 44.5, 44.5]",19983,16,test,2,thiele_approvalindependent
35,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[30.5, 75.3, 30.5, 61.7, 30.5, 53.3, 30.5, 48.0, 44.5, 83.9, 44.5, 73.1, 44.5, 66.9, 44.5, 62.7]",19983,16,test,2,thiele_squared
36,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[30.7, 57.7, 30.7, 46.2, 57.7, 40.1, 51.6, 37.5, 44.1, 69.7, 44.1, 61.0, 44.2, 56.0, 44.1, 53.3]",19983,16,test,2,thiele_pav
37,0.5743381874593404,0.42566181254065955,1.0,0.0,"[30.7, 30.7, 30.7, 30.7, 30.7, 30.7, 30.7, 30.7, 44.1, 44.1, 44.1, 44.1, 44.1, 44.1, 44.1, 44.1]",19983,16,test,2,thiele_approvalindependent
38,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[30.7, 75.8, 30.7, 62.0, 30.7, 53.7, 30.7, 48.5, 44.1, 83.8, 44.1, 72.7, 44.1, 66.5, 44.1, 62.4]",19983,16,test,2,thiele_squared
39,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[44.2, 69.8, 44.2, 61.1, 44.2, 56.1, 44.2, 53.6, 30.7, 57.7, 30.7, 46.0, 57.7, 39.9, 51.3, 37.3]",19983,16,test,2,thiele_pav
40,0.5743381874593404,0.42566181254065955,1.0,0.0,"[44.2, 44.2, 44.2, 44.2, 44.2, 44.2, 44.2, 44.2, 30.7, 30.7, 30.7, 30.7, 30.7, 30.7, 30.7, 30.7]",19983,16,test,2,thiele_approvalindependent
41,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[44.2, 83.5, 44.2, 72.6, 44.2, 66.4, 44.2, 62.5, 30.7, 76.0, 30.7, 62.0, 30.7, 53.3, 30.7, 48.1]",19983,16,test,2,thiele_squared
42,0.5743381874593404,0.42566181254065955,0.5625,0.4375,"[30.4, 57.3, 30.4, 45.3, 57.3, 39.4, 50.9, 36.7, 44.8, 70.4, 44.8, 61.6, 44.8, 56.9, 44.8, 54.2]",19983,16,test,2,thiele_pav
