census_FIP,race,dem_partisan_score,party,education,income
48157674700,Hispanic,58.36030730482746,1,28.894334554656947,29.719845664305772
36055013503,Caucasian,79.94195686154764,0,22.232900501988393,
25027730902,Caucasian,96.65615475272271,0,84.37167208703791,183.57410342405643
45007010402,Caucasian,88.97637348439874,0,20.481644945472382,
53015002002,Caucasian,100.64128166403505,0,47.20483704674707,
48113016509,Caucasian,1.8898841165677434,1,51.66586569266933,68.33029603722827
6085506603,Caucasian,93.74708788158901,0,36.88152579247669,
39061026400,African-American,98.12715158956853,0,62.64244339829341,173.26575704654653
18089042605,Caucasian,32.02105268520896,1,16.754681037577384,
12071010105,Caucasian,3.177492029516617,1,32.084160070148506,82.15477830248783
53063012402,Caucasian,93.42875739833335,0,58.02733069482119,85.95470498124182
48181001803,Caucasian,2.171775956884898,1,33.44722346146826,178.38183504655106
27025110401,Caucasian,24.37529935563708,1,22.271261349017283,204.24207841392348
12101031301,Caucasian,54.879083651911664,0,14.67344033611917,
8041002900,Caucasian,93.64169416188439,0,21.452812614001452,
46093020400,Caucasian,94.26296915115702,0,21.376563360499095,34.53632469358363
6085507001,Caucasian,87.23759387248904,0,30.050973004029167,
9003487100,Uncoded,24.619463709202766,1,79.63779741472999,199.34483859995862
53053070307,Caucasian,2.8384857424663563,1,77.21138849026187,2509.936457898777
25017373900,Caucasian,84.04472626685073,0,91.7285996075554,669.7070703072606
42033331800,Caucasian,27.707741251875103,1,70.09892288455461,56.58791849403742
20091053409,Caucasian,0.6532388028394553,1,65.37986885723764,670.9895101967437
42101034802,African-American,94.13018492621823,0,30.849827525500892,
22033002200,Caucasian,4.318320442568162,1,59.84669892539872,
45041000202,Caucasian,7.237893963225126,1,70.87431226653491,91.42979196490865
12099005915,Caucasian,-6.330057006824041,1,72.72872293703777,15.139073764701518
41051008001,Caucasian,2.0667307678639055,1,14.988990416371886,20.84836029370775
21101020702,Caucasian,1.4575221506269391,1,47.47351095106986,70.58752732596004
33013037000,Caucasian,2.835518917511976,1,84.23477078706603,259.57723096238334
26081003200,African-American,100.93632257348969,0,59.042956849101564,
6013333200,Caucasian,72.43572081663069,0,50.58813769677192,67.61868826199976
12057003700,Caucasian,3.0255805247477223,1,37.816965972493804,245.4326981075108
27171100204,Caucasian,77.97818536486915,0,32.85373470625497,-4.577789048949839
19141490300,Caucasian,4.30203315864598,1,50.42757287019005,61.8618798217616
12005002704,Caucasian,5.784467320994028,1,30.554991467456837,
55025001403,Caucasian,92.5545041837083,0,61.97224269344563,144.00395241642005
53033011300,Caucasian,104.64306659431153,0,57.675530460895104,131.35489521956163
17197883208,Caucasian,96.41542601134832,0,39.860808190728456,71.88899028966487
17183010600,Caucasian,83.70337186877663,0,13.366036550806209,141.80951982871215
39165032202,Caucasian,28.439400406406584,1,68.46567798430604,111.37924565692566
17095000700,Caucasian,2.0807050996913903,1,61.48071616036757,20.71562905467043
18141003100,Caucasian,86.35937954672487,0,24.042440254485562,
1081041700,Asian,83.3997219280024,0,21.387570157528888,13.864677689779029
6037651304,Caucasian,102.03933314859648,0,82.5949809941403,170.23177510478277
6037132502,Hispanic,92.14132945035558,0,46.6609355946851,
26087338000,Caucasian,7.541538544682052,1,77.14307716867948,
6067002400,Caucasian,95.75432431938647,0,70.78631940982918,244.12357030689085
39113040204,Caucasian,94.36345756308364,0,36.90433505935175,
39169002300,Caucasian,11.823220054998774,1,42.218270117993846,183.50152811817912
34025809902,Uncoded,4.512264073363664,1,72.07553898474485,455.60211981421935
22079012500,African-American,82.30722052140888,0,13.904426186416368,66.32332701052175
48201240802,Caucasian,29.16134481985192,1,13.911196924503749,
29101960100,Caucasian,4.894897964966571,1,58.807922056954375,-5.311673605230627
13195020100,Caucasian,0.9565943441109885,1,13.035341369672738,59.791058704596736
27009021102,Caucasian,54.54177304128466,0,46.41508038889782,28.700048383422427
25017353700,Caucasian,90.07156153668811,0,42.80672528436478,
27071790200,Caucasian,82.02954103958074,0,32.51418924209657,
32003005322,Caucasian,82.29235754721309,0,,24.589788085907593
18097342500,Uncoded,5.097610892536,1,48.01587537939655,
48027023402,Caucasian,5.011610589182498,1,17.85653536367383,33.8206016693635
13253200300,Caucasian,19.734912097621013,1,14.575981900692886,58.298399176131866
44009051502,Caucasian,97.29710074877731,0,42.356462002712995,74.81444617465202
48299970100,Caucasian,53.8676407129376,0,34.08597212531937,31.758199725924342
36067014200,Caucasian,11.696789047769673,1,61.27164042219758,15.892339667233042
41019030000,Caucasian,51.19691301852898,0,37.82849348791601,88.93055670808917
48085030605,African-American,65.24564564810306,0,49.063118929404794,107.2504624652631
27053026201,Caucasian,58.47924471604551,0,32.248625290210086,
55025002200,Caucasian,96.30984301985711,0,45.31844305472642,74.64927345120302
31109003608,Caucasian,60.16739191559452,0,53.06351811294195,132.22878541872052
17031822301,Caucasian,57.731494126493665,0,13.646745584188027,193.85708157806323
45083023404,Caucasian,47.46879899638785,0,23.46349236063931,175.21472439832075
12109021003,Caucasian,1.5917736473316366,1,33.86894214651557,
55127001602,Caucasian,84.58618716866548,0,81.41203621689917,
48497150602,Caucasian,9.872656875963164,1,21.807216347494602,182.27295742741947
41017001100,Caucasian,38.78943185082908,1,47.57873304683681,63.851064580910986
48167725400,Hispanic,84.83400001188362,0,20.57987701484747,157.76955855979327
37023021000,Caucasian,6.93582245935794,1,8.25868355424984,
47065010700,Uncoded,82.55986950616972,0,12.89346150632372,117.43493118772888
55043961200,Caucasian,73.9833282930946,0,35.35186759275821,
1059973300,Caucasian,48.519196732626256,1,33.91912235921184,96.56417652904139
